,doc,subtopic,topic
2995,The Wild Bunch,26th Academy Awards,Awards
2996,Fred (band),Electric Picnic 2008,Festival
2997,Donal Dineen,Electric Picnic 2008,Festival
2998,The Presets,Electric Picnic 2008,Festival
2999,Electric Picnic 2009,Electric Picnic 2008,Festival
3000,Lisa Hannigan,Electric Picnic 2008,Festival
3001,Mercato Centrale (Florence),2011 Florence shootings,Civilian Attack
3002,CasaPound,2011 Florence shootings,Civilian Attack
3003,Jay Friedkin,49th British Academy Film Awards,Awards
3004,"Harford County, Maryland",Assassination of Abraham Lincoln,Civilian Attack
3005,Sic semper tyrannis,Assassination of Abraham Lincoln,Civilian Attack
3006,1866 United States elections,Assassination of Abraham Lincoln,Civilian Attack
3007,Director of the United States Secret Service,Assassination of Abraham Lincoln,Civilian Attack
3008,The Great Abraham Lincoln Pocket Watch Conspiracy,Assassination of Abraham Lincoln,Civilian Attack
3009,New Jersey Avenue Station,Assassination of Abraham Lincoln,Civilian Attack
3010,James Dunwoody Bulloch,Assassination of Abraham Lincoln,Civilian Attack
3011,Thomas Ewing Jr.,Assassination of Abraham Lincoln,Civilian Attack
3012,O Captain! My Captain!,Assassination of Abraham Lincoln,Civilian Attack
3013,Conclusion of the American Civil War,Assassination of Abraham Lincoln,Civilian Attack
3014,Presidency of Abraham Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3015,The Lincoln Train,Assassination of Abraham Lincoln,Civilian Attack
3016,Tenacious D: Time Fixers,Assassination of Abraham Lincoln,Civilian Attack
3017,Jefferson Davis,Assassination of Abraham Lincoln,Civilian Attack
3018,Mary Surratt,Assassination of Abraham Lincoln,Civilian Attack
3019,Forty acres and a mule,Assassination of Abraham Lincoln,Civilian Attack
3020,Mary Todd Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3021,Lincoln (film),Assassination of Abraham Lincoln,Civilian Attack
3022,Joseph Hazelton,Assassination of Abraham Lincoln,Civilian Attack
3023,Official National Lampoon Bicentennial Calendar 1976,Assassination of Abraham Lincoln,Civilian Attack
3024,19th century,Assassination of Abraham Lincoln,Civilian Attack
3025,Wade Burleson,Assassination of Abraham Lincoln,Civilian Attack
3026,Stillman Pond,Assassination of Abraham Lincoln,Civilian Attack
3027,Henry Kyd Douglas,Assassination of Abraham Lincoln,Civilian Attack
3028,Campaign of the Carolinas,Assassination of Abraham Lincoln,Civilian Attack
3029,John Frederick Parker,Assassination of Abraham Lincoln,Civilian Attack
3030,United States,Assassination of Abraham Lincoln,Civilian Attack
3031,When Lilacs Last in the Dooryard Bloom'd,Assassination of Abraham Lincoln,Civilian Attack
3032,Elizabeth Keckley,Assassination of Abraham Lincoln,Civilian Attack
3033,The America Play,Assassination of Abraham Lincoln,Civilian Attack
3034,The Day Lincoln Was Shot,Assassination of Abraham Lincoln,Civilian Attack
3035,Clone High,Assassination of Abraham Lincoln,Civilian Attack
3036,1862 (novel),Assassination of Abraham Lincoln,Civilian Attack
3037,News,Assassination of Abraham Lincoln,Civilian Attack
3038,The Last of Mrs. Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3039,William A. Bowles,Assassination of Abraham Lincoln,Civilian Attack
3040,Waterbury Municipal Center Complex,Assassination of Abraham Lincoln,Civilian Attack
3041,16th Regiment New York Volunteer Cavalry,Assassination of Abraham Lincoln,Civilian Attack
3042,Sarah Gooll Putnam,Assassination of Abraham Lincoln,Civilian Attack
3043,Terraplane (novel),Assassination of Abraham Lincoln,Civilian Attack
3044,The Ridiculous 6,Assassination of Abraham Lincoln,Civilian Attack
3045,Platform gap,Assassination of Abraham Lincoln,Civilian Attack
3046,National Union Party (United States),Assassination of Abraham Lincoln,Civilian Attack
3047,William Henry Carroll,Assassination of Abraham Lincoln,Civilian Attack
3048,Asia Booth Clarke,Assassination of Abraham Lincoln,Civilian Attack
3049,Mary E. Surratt Boarding House,Assassination of Abraham Lincoln,Civilian Attack
3050,George P. Fisher,Assassination of Abraham Lincoln,Civilian Attack
3051,James A. Garfield,Assassination of Abraham Lincoln,Civilian Attack
3052,Lincoln Tomb,Assassination of Abraham Lincoln,Civilian Attack
3053,Lincoln (novel),Assassination of Abraham Lincoln,Civilian Attack
3054,Stone Mountain,Assassination of Abraham Lincoln,Civilian Attack
3055,Edwin Booth,Assassination of Abraham Lincoln,Civilian Attack
3056,American Civil War alternate histories,Assassination of Abraham Lincoln,Civilian Attack
3057,Joint Base Myer–Henderson Hall,Assassination of Abraham Lincoln,Civilian Attack
3058,Charles Dunham,Assassination of Abraham Lincoln,Civilian Attack
3059,"Crestline, Ohio",Assassination of Abraham Lincoln,Civilian Attack
3060,Lincoln Memorial,Assassination of Abraham Lincoln,Civilian Attack
3062,Clara Harris,Assassination of Abraham Lincoln,Civilian Attack
3063,The Girl I Left Behind,Assassination of Abraham Lincoln,Civilian Attack
3064,Same-sex intimacy,Assassination of Abraham Lincoln,Civilian Attack
3065,Fire on the Mountain (Bisson novel),Assassination of Abraham Lincoln,Civilian Attack
3066,Second inauguration of Abraham Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3067,James C. Conkling,Assassination of Abraham Lincoln,Civilian Attack
3068,Abraham Lincoln (Flannery),Assassination of Abraham Lincoln,Civilian Attack
3070,Francisco Perea,Assassination of Abraham Lincoln,Civilian Attack
3071,Surratt House Museum,Assassination of Abraham Lincoln,Civilian Attack
3073,Metropolitan Police Department of the District of Columbia,Assassination of Abraham Lincoln,Civilian Attack
3074,Daniel McCallum,Assassination of Abraham Lincoln,Civilian Attack
3075,Albion P. Howe,Assassination of Abraham Lincoln,Civilian Attack
3076,David Ramsay Clendenin,Assassination of Abraham Lincoln,Civilian Attack
3077,Franklin W. Smith,Assassination of Abraham Lincoln,Civilian Attack
3078,Richard T. Merrick,Assassination of Abraham Lincoln,Civilian Attack
3079,Edelmiro Mayer,Assassination of Abraham Lincoln,Civilian Attack
3080,Joseph Parrish Thompson,Assassination of Abraham Lincoln,Civilian Attack
3081,Ward Hill Lamon,Assassination of Abraham Lincoln,Civilian Attack
3082,Nathaniel Beverley Tucker (journalist),Assassination of Abraham Lincoln,Civilian Attack
3083,Totten v. United States,Assassination of Abraham Lincoln,Civilian Attack
3084,David Bustill Bowser,Assassination of Abraham Lincoln,Civilian Attack
3085,General Lyon,Assassination of Abraham Lincoln,Civilian Attack
3086,Presidency of Andrew Johnson,Assassination of Abraham Lincoln,Civilian Attack
3087,Sequel to Drum-Taps,Assassination of Abraham Lincoln,Civilian Attack
3088,CSS Shenandoah,Assassination of Abraham Lincoln,Civilian Attack
3089,Robert Todd Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3090,William Tecumseh Sherman,Assassination of Abraham Lincoln,Civilian Attack
3091,Boston Corbett,Assassination of Abraham Lincoln,Civilian Attack
3092,Fort Sumter,Assassination of Abraham Lincoln,Civilian Attack
3093,Laura Keene,Assassination of Abraham Lincoln,Civilian Attack
3094,USS Saugus (1863),Assassination of Abraham Lincoln,Civilian Attack
3095,91st Pennsylvania Infantry Regiment,Assassination of Abraham Lincoln,Civilian Attack
3096,Zekiah Swamp,Assassination of Abraham Lincoln,Civilian Attack
3097,Outline of Abraham Lincoln,Assassination of Abraham Lincoln,Civilian Attack
3098,Northrop N-9M,2019 Northrop N-9M crash,Airliner Accident
3099,California Rehabilitation Center,2019 Northrop N-9M crash,Airliner Accident
3100,Zivanna Letisha Siregar,Puteri Indonesia 2008,Beauty Pageant
3101,Raline Shah,Puteri Indonesia 2008,Beauty Pageant
3103,United Airlines Flight 409,Northwest Orient Airlines Flight 2501,Airliner Accident
3104,SS Hennepin,Northwest Orient Airlines Flight 2501,Airliner Accident
3105,2017–18 Furman Paladins women's basketball team,2018 Southern Conference Women's Basketball Tournament,Concert
3106,2017–18 Mercer Bears women's basketball team,2018 Southern Conference Women's Basketball Tournament,Concert
3107,Sydney Showground (Moore Park),Led Zeppelin Australasian Tour 1972,Concert
3108,Connor Franta,2014 Teen Choice Awards,Awards
3109,Jenn McAllister,2014 Teen Choice Awards,Awards
3110,Me and My Broken Heart,2014 Teen Choice Awards,Awards
3111,Really Don't Care,2014 Teen Choice Awards,Awards
3112,Lindsey Stirling,2014 Teen Choice Awards,Awards
3113,I Will Never Let You Down,2014 Teen Choice Awards,Awards
3114,Sian Adey-Jones,Miss Universe 1976,Beauty Pageant
3115,Rina Mor,Miss Universe 1976,Beauty Pageant
3116,Judith Castillo,Miss Universe 1976,Beauty Pageant
3117,Barbara Peterson,Miss Universe 1976,Beauty Pageant
3118,Lee Theatre,Miss Universe 1976,Beauty Pageant
3119,Miss USA 1976,Miss Universe 1976,Beauty Pageant
3120,Faridah Norizan,Miss Universe 1976,Beauty Pageant
3121,He Ting,1990 Guangzhou Baiyun airport collisions,Airliner Accident
3122,"Carterton, New Zealand",2012 Carterton hot air balloon crash,Airliner Accident
3123,Edward L. Doheny,1933 Long Beach earthquake,Earthquake
3124,Los Angeles High School,1933 Long Beach earthquake,Earthquake
3125,International House (1933 film),1933 Long Beach earthquake,Earthquake
3126,"Midway City, California",1933 Long Beach earthquake,Earthquake
3127,Berkeley Unified School District,1933 Long Beach earthquake,Earthquake
3128,Alameda Unified School District,1933 Long Beach earthquake,Earthquake
3129,"First Church of Christ, Scientist (Long Beach, California)",1933 Long Beach earthquake,Earthquake
3130,Newport–Inglewood Fault,1933 Long Beach earthquake,Earthquake
3131,San Fernando Valley,1933 Long Beach earthquake,Earthquake
3132,Colorado-class battleship,1933 Long Beach earthquake,Earthquake
3133,Jo Stafford,1933 Long Beach earthquake,Earthquake
3134,USS Arizona (BB-39),1933 Long Beach earthquake,Earthquake
3135,Torrance High School,1933 Long Beach earthquake,Earthquake
3136,1948 Desert Hot Springs earthquake,1933 Long Beach earthquake,Earthquake
3137,Raymond D. Bowman,1933 Long Beach earthquake,Earthquake
3138,"Excelsior High School (Norwalk, California)",1933 Long Beach earthquake,Earthquake
3139,Jefferson High School (Los Angeles),1933 Long Beach earthquake,Earthquake
3140,Long Beach Polytechnic High School,1933 Long Beach earthquake,Earthquake
3141,Robert P. Shuler,1933 Long Beach earthquake,Earthquake
3142,Van Nuys High School,1933 Long Beach earthquake,Earthquake
3143,Aimee Semple McPherson,1933 Long Beach earthquake,Earthquake
3144,2000–01 Illinois Fighting Illini men's basketball team,2001 Big Ten Conference Men's Basketball Tournament,Concert
3145,2000–01 Indiana Hoosiers men's basketball team,2001 Big Ten Conference Men's Basketball Tournament,Concert
3146,2000–01 Michigan State Spartans men's basketball team,2001 Big Ten Conference Men's Basketball Tournament,Concert
3147,2000–01 Michigan Wolverines men's basketball team,2001 Big Ten Conference Men's Basketball Tournament,Concert
3148,Carolina Cerruti,Miss Venezuela 1983,Beauty Pageant
3149,Paola Ruggeri,Miss Venezuela 1983,Beauty Pageant
3150,"Washington County, Illinois",Lively massacre,Civilian Attack
3151,"Lively Grove Township, Washington County, Illinois",Lively massacre,Civilian Attack
3152,The Prude,43rd Venice International Film Festival,Festival
3153,Wild Pigeon (film),43rd Venice International Film Festival,Festival
3154,The Journey (1986 film),43rd Venice International Film Festival,Festival
3155,Werther (1986 film),43rd Venice International Film Festival,Festival
3156,La Storia (film),43rd Venice International Film Festival,Festival
3157,Roman Balayan,43rd Venice International Film Festival,Festival
3158,Carlo Delle Piane,43rd Venice International Film Festival,Festival
3159,"Guard Me, My Talisman",43rd Venice International Film Festival,Festival
3160,Al-Qaeda,2010 Times Square car bombing attempt,Terrorist Attack
3161,Jihadist extremism in the United States,2010 Times Square car bombing attempt,Terrorist Attack
3162,Islamic Circle of North America,2010 Times Square car bombing attempt,Terrorist Attack
3163,Drone strikes in Pakistan,2010 Times Square car bombing attempt,Terrorist Attack
3164,Critical terrorism studies,2010 Times Square car bombing attempt,Terrorist Attack
3165,Inspire (magazine),2010 Times Square car bombing attempt,Terrorist Attack
3166,Shubert Alley,2010 Times Square car bombing attempt,Terrorist Attack
3167,Anti-Terrorism Act of 2001 (New York),2010 Times Square car bombing attempt,Terrorist Attack
3168,Preet Bharara,2010 Times Square car bombing attempt,Terrorist Attack
3169,Teunkie Van Der Sluijs,2010 Times Square car bombing attempt,Terrorist Attack
3170,Domestic terrorism,2010 Times Square car bombing attempt,Terrorist Attack
3171,Pressure cooker bomb,2010 Times Square car bombing attempt,Terrorist Attack
3172,Eric Holder,2010 Times Square car bombing attempt,Terrorist Attack
3173,Operation Arabian Knight,2010 Times Square car bombing attempt,Terrorist Attack
3175,2007–08 Western Michigan Broncos men's basketball team,2008 MAC Men's Basketball Tournament,Concert
3176,2008–09 Bowling Green Falcons men's basketball team,2008 MAC Men's Basketball Tournament,Concert
3177,Kent State Golden Flashes men's basketball,2008 MAC Men's Basketball Tournament,Concert
3178,Tresa Hughes,15th Tony Awards,Awards
3179,History of Puerto Rico,San Juan Nationalist revolt,News Event
3180,Utuado uprising,San Juan Nationalist revolt,News Event
3181,Vidal Santiago Díaz,San Juan Nationalist revolt,News Event
3182,Jayuya Uprising,San Juan Nationalist revolt,News Event
3183,Juan Antonio Corretjer,San Juan Nationalist revolt,News Event
3184,The Who concert disaster,The Who Tour 1979,Concert
3185,In Concert (WKRP in Cincinnati),The Who Tour 1979,Concert
3186,Relay (song),The Who Tour 1979,Concert
3187,Trick of the Light (The Who song),The Who Tour 1979,Concert
3188,Slip Kid,The Who Tour 1979,Concert
3189,Join Together (song),The Who Tour 1979,Concert
3190,Who Are You,The Who Tour 1979,Concert
3191,John Beilein,2002 Atlantic 10 Men's Basketball Tournament,Concert
3192,Susannah York,1972 Cannes Film Festival,Festival
3193,Giorgio Papi,1972 Cannes Film Festival,Festival
3194,I'm Free (The Who song),The Who Tour 2002,Concert
3195,John Entwistle,The Who Tour 2002,Concert
3196,Pino Palladino,The Who Tour 2002,Concert
3197,The Who Tour 2000,The Who Tour 2002,Concert
3198,Randa Kassis,Geneva peace talks on Syria (2016),Meetings
3199,Syrian opposition,Geneva peace talks on Syria (2016),Meetings
3200,Syrian Democratic Council,Geneva peace talks on Syria (2016),Meetings
3201,Khmeimim Air Base,Geneva peace talks on Syria (2016),Meetings
3202,Vienna peace talks for Syria,Geneva peace talks on Syria (2016),Meetings
3203,U.S.–Russia peace proposals on Syria,Geneva peace talks on Syria (2016),Meetings
3204,Geneva II Conference on Syria,Geneva peace talks on Syria (2016),Meetings
3205,High Negotiations Committee,Geneva peace talks on Syria (2016),Meetings
3206,Rojava,Geneva peace talks on Syria (2016),Meetings
3207,Abdurrahman Mustafa,Geneva peace talks on Syria (2016),Meetings
3208,Syrian Turkmen Assembly,Geneva peace talks on Syria (2016),Meetings
3209,Russian military intervention in the Syrian Civil War,Geneva peace talks on Syria (2016),Meetings
3210,Rewati Chetri,Femina Miss India 2015,Beauty Pageant
3212,Applause Entertainment Limited,Femina Miss India 2015,Beauty Pageant
3213,Vartika Singh,Femina Miss India 2015,Beauty Pageant
3215,Aditi Arya,Femina Miss India 2015,Beauty Pageant
3217,Sushrii Shreya Mishraa,Femina Miss India 2015,Beauty Pageant
3218,Pranati Rai Prakash,Femina Miss India 2015,Beauty Pageant
3219,Love & Peace (Girls' Generation album),Girls' Generation Japan 3rd Tour 2014,Concert
3220,Girls' Generation World Tour Girls & Peace,Girls' Generation Japan 3rd Tour 2014,Concert
3221,Girls' Generation,Girls' Generation Japan 3rd Tour 2014,Concert
3222,The Best (Girls' Generation album),Girls' Generation Japan 3rd Tour 2014,Concert
3223,Turquoise (film),16th London Turkish Film Festival,Festival
3224,Based Down South,16th London Turkish Film Festival,Festival
3225,Resurrecting: The Street Walker,16th London Turkish Film Festival,Festival
3226,Sleeping Princess (film),16th London Turkish Film Festival,Festival
3227,1992–93 Idaho Vandals men's basketball team,1982 Big Sky Conference Men's Basketball Tournament,Concert
3228,1982–83 Idaho Vandals men's basketball team,1982 Big Sky Conference Men's Basketball Tournament,Concert
3229,Idaho Vandals men's basketball,1982 Big Sky Conference Men's Basketball Tournament,Concert
3230,1981–82 Boise State Broncos men's basketball team,1982 Big Sky Conference Men's Basketball Tournament,Concert
3231,2002–03 North Carolina Tar Heels men's basketball team,2003 ACC Men's Basketball Tournament,Concert
3232,Julius Hodge,2003 ACC Men's Basketball Tournament,Concert
3233,2002–03 Georgia Tech Yellow Jackets men's basketball team,2003 ACC Men's Basketball Tournament,Concert
3234,The Sound of White,ARIA Music Awards of 2005,Awards
3236,Dreams (Evermore album),ARIA Music Awards of 2005,Awards
3237,Lior,ARIA Music Awards of 2005,Awards
3238,The Evangelist (Robert Forster album),ARIA Music Awards of 2005,Awards
3239,Monsieur Camembert (album),ARIA Music Awards of 2005,Awards
3240,Mia Dyson,ARIA Music Awards of 2005,Awards
3241,Here Come the Drums,ARIA Music Awards of 2005,Awards
3242,El Momento Descuidado,ARIA Music Awards of 2005,Awards
3243,Do-Do's & Whoa-Oh's,ARIA Music Awards of 2005,Awards
3244,Butterfingers (Australian band),ARIA Music Awards of 2005,Awards
3245,Ash Grunwald,ARIA Music Awards of 2005,Awards
3246,Parking Lots (album),ARIA Music Awards of 2005,Awards
3247,Tonight (Renée Geyer album),ARIA Music Awards of 2005,Awards
3248,Notes from a Ceiling,ARIA Music Awards of 2005,Awards
3249,Architecture in Helsinki,ARIA Music Awards of 2005,Awards
3250,Katie Noonan,ARIA Music Awards of 2005,Awards
3251,In Case We Die,ARIA Music Awards of 2005,Awards
3253,Kisschasy,ARIA Music Awards of 2005,Awards
3254,Autumn Flow,ARIA Music Awards of 2005,Awards
3255,Adam Harvey,ARIA Music Awards of 2005,Awards
3256,Live Hot Potatoes!,ARIA Music Awards of 2005,Awards
3257,Phil Jamieson,ARIA Music Awards of 2005,Awards
3258,Galician Jews,Lwów pogrom (1918),Civilian Attack
3259,Lviv,Lwów pogrom (1918),Civilian Attack
3260,Czesław Mączyński,Lwów pogrom (1918),Civilian Attack
3262,West Ukrainian People's Republic,Lwów pogrom (1918),Civilian Attack
3263,Rikuda Potash,Lwów pogrom (1918),Civilian Attack
3264,Battle of Lemberg (1918),Lwów pogrom (1918),Civilian Attack
3265,Morgenthau Report,Lwów pogrom (1918),Civilian Attack
3266,Archduke Wilhelm of Austria,Lwów pogrom (1918),Civilian Attack
3267,Jewish–Ukrainian relations in Eastern Galicia,Lwów pogrom (1918),Civilian Attack
3268,Anda Pinkerfeld Amir,Lwów pogrom (1918),Civilian Attack
3269,Twin Towers (San Antonio Spurs),1997 ACC Men's Basketball Tournament,Concert
3270,Woody Durham,2002 ACC Men's Basketball Tournament,Concert
3271,2001–02 North Carolina Tar Heels men's basketball team,2002 ACC Men's Basketball Tournament,Concert
3272,Alessandro Gavazzi,Gavazzi Riots,News Event
3273,Charles Wilson (Canadian politician),Gavazzi Riots,News Event
3274,John Dougall (merchant),Gavazzi Riots,News Event
3275,Catholic Church in Canada,Gavazzi Riots,News Event
3276,"History of Greenwich, Connecticut",Gulliver's nightclub fire,News Event
3277,Eric Carr,Gulliver's nightclub fire,News Event
3278,"Greenwich, Connecticut",Gulliver's nightclub fire,News Event
3279,History of San Diego State University,San Diego State University shooting,Civilian Attack
3281,Military parade,Caracas drone attack,Civilian Attack
3282,Gustavo Tarre,Caracas drone attack,Civilian Attack
3283,Gustavo González López,Caracas drone attack,Civilian Attack
3284,Juan Requesens,Caracas drone attack,Civilian Attack
3285,Fernando Albán Salazar,Caracas drone attack,Civilian Attack
3286,Rafaela Requesens,Caracas drone attack,Civilian Attack
3287,Carol Padilla,Caracas drone attack,Civilian Attack
3288,Human rights in Venezuela,Caracas drone attack,Civilian Attack
3289,Airport (novel),Continental Airlines Flight 11,Airliner Accident
3290,"Unionville, Missouri",Continental Airlines Flight 11,Airliner Accident
3291,Monte Hill Davis,Continental Airlines Flight 11,Airliner Accident
3292,Aviation insurance,Continental Airlines Flight 11,Airliner Accident
3293,Athens Polytechnic uprising,"Embassy of the United States, Athens",Terrorist Attack
3294,Thomas M. Countryman,"Embassy of the United States, Athens",Terrorist Attack
3295,John Sitaras,"Embassy of the United States, Athens",Terrorist Attack
3296,Konstantinos Karamanlis,"Embassy of the United States, Athens",Terrorist Attack
3297,Modern architecture in Athens,"Embassy of the United States, Athens",Terrorist Attack
3298,Andrew Prokos,"Embassy of the United States, Athens",Terrorist Attack
3299,Virginia L. Bennett,"Embassy of the United States, Athens",Terrorist Attack
3300,1983 British Airways Sikorsky S-61 crash,1981 Bristow Helicopters Westland Wessex crash,Airliner Accident
3301,1982 Bristow Helicopters Bell 212 crash,1981 Bristow Helicopters Westland Wessex crash,Airliner Accident
3302,Great Yarmouth Minster,1981 Bristow Helicopters Westland Wessex crash,Airliner Accident
3303,Al-Qaeda,2007 Yazidi communities bombings,Terrorist Attack
3304,Murder of Du'a Khalil Aswad,2007 Yazidi communities bombings,Terrorist Attack
3305,Sinjar Resistance Units,2007 Yazidi communities bombings,Terrorist Attack
3306,August 2009 Baghdad bombings,2007 Yazidi communities bombings,Terrorist Attack
3307,Sinjar District,2007 Yazidi communities bombings,Terrorist Attack
3308,Locked Out of Heaven,44th NAACP Image Awards,Awards
3309,Yvvette Edwards,44th NAACP Image Awards,Awards
3310,Interventions: A Life in War and Peace,44th NAACP Image Awards,Awards
3311,Arjun Rampal,10th IIFA Awards,Awards
3312,Danny Coulombe,Charlie Brown and Franz Stigler incident,News Event
3313,Hillary Clinton,October 2018 United States mail bombing attempts,Terrorist Attack
3314,Rush Limbaugh,October 2018 United States mail bombing attempts,Terrorist Attack
3315,Assassination threats against Barack Obama,October 2018 United States mail bombing attempts,Terrorist Attack
3316,Candace Owens,October 2018 United States mail bombing attempts,Terrorist Attack
3317,Pittsburgh synagogue shooting,October 2018 United States mail bombing attempts,Terrorist Attack
3318,Kamala Harris,October 2018 United States mail bombing attempts,Terrorist Attack
3319,Debbie Wasserman Schultz,October 2018 United States mail bombing attempts,Terrorist Attack
3320,Dinesh D'Souza,October 2018 United States mail bombing attempts,Terrorist Attack
3321,CNN v. Trump,October 2018 United States mail bombing attempts,Terrorist Attack
3322,Maxine Waters,October 2018 United States mail bombing attempts,Terrorist Attack
3323,Barack Obama,October 2018 United States mail bombing attempts,Terrorist Attack
3324,James Woods,October 2018 United States mail bombing attempts,Terrorist Attack
3325,George Soros,October 2018 United States mail bombing attempts,Terrorist Attack
3326,Laura Loomer,October 2018 United States mail bombing attempts,Terrorist Attack
3327,Archie F. Howard,United Airlines Flight 608,Airliner Accident
3328,Rachel Lambert Mellon,United Airlines Flight 608,Airliner Accident
3329,Bryce Canyon Airport,United Airlines Flight 608,Airliner Accident
3330,Jeff Burkett,United Airlines Flight 608,Airliner Accident
3331,Douglas DC-6,United Airlines Flight 608,Airliner Accident
3332,Eurovision Young Dancers 2015,Eurovision Young Dancers 1997,Contest
3333,Battle of Jenin,Matza restaurant suicide bombing,Terrorist Attack
3334,Romema (Haifa),Matza restaurant suicide bombing,Terrorist Attack
3335,Haifa,Matza restaurant suicide bombing,Terrorist Attack
3336,Kistanje,Varivode massacre,Civilian Attack
3337,Operation Storm,Varivode massacre,Civilian Attack
3338,Serbs of Croatia,Varivode massacre,Civilian Attack
3339,Varivode,Varivode massacre,Civilian Attack
3340,John E. Wool,Trail of Tears,Civilian Attack
3341,Memphis to Little Rock Road-Village Creek Segment,Trail of Tears,Civilian Attack
3342,Dudley Snow House,Trail of Tears,Civilian Attack
3343,Fort Cass,Trail of Tears,Civilian Attack
3344,"Baldwyn, Mississippi",Trail of Tears,Civilian Attack
3345,"Acworth, Georgia",Trail of Tears,Civilian Attack
3346,Jeremiah Wright controversy,Trail of Tears,Civilian Attack
3347,Tsali,Trail of Tears,Civilian Attack
3348,Kermit Hunter,Trail of Tears,Civilian Attack
3349,New Echota,Trail of Tears,Civilian Attack
3350,Memphis to Little Rock Road-Strong's Ferry Segment,Trail of Tears,Civilian Attack
3351,"Ridge House (Fayetteville, Arkansas)",Trail of Tears,Civilian Attack
3352,Moravian Church,Trail of Tears,Civilian Attack
3353,Texas Cherokees,Trail of Tears,Civilian Attack
3354,Florida,Trail of Tears,Civilian Attack
3355,"Towns County, Georgia",Trail of Tears,Civilian Attack
3356,Cherokee Nation (1794–1907),Trail of Tears,Civilian Attack
3357,Margaret Roach Wheeler,Trail of Tears,Civilian Attack
3358,Robert C. Buchanan,Trail of Tears,Civilian Attack
3359,Yuchi language,Trail of Tears,Civilian Attack
3360,Jefferson–Jackson Day,Trail of Tears,Civilian Attack
3361,"Adairsville, Georgia",Trail of Tears,Civilian Attack
3362,Tone (linguistics),Trail of Tears,Civilian Attack
3363,Land Trust for Tennessee,Trail of Tears,Civilian Attack
3364,Andrew Jackson,Trail of Tears,Civilian Attack
3365,Cherokee (Europe song),Trail of Tears,Civilian Attack
3366,John W. Phelps,Trail of Tears,Civilian Attack
3367,Mounds Cemetery,Trail of Tears,Civilian Attack
3368,John Looney (Cherokee chief),Trail of Tears,Civilian Attack
3369,Cherokee freedmen controversy,Trail of Tears,Civilian Attack
3370,"Glenville, Alabama",Trail of Tears,Civilian Attack
3371,Mao Zedong,Trail of Tears,Civilian Attack
3372,Manzanar,Trail of Tears,Civilian Attack
3373,Chickamauga Cherokee,Trail of Tears,Civilian Attack
3374,Flag of Tulsa,Trail of Tears,Civilian Attack
3375,Die Sommermelodie,Eurovision Song Contest 1975,Contest
3376,Semiha Yankı,Eurovision Song Contest 1975,Contest
3377,Sveriges Radio,Eurovision Song Contest 1975,Contest
3378,Natati La Khayay,Eurovision Song Contest 1975,Contest
3379,That's What Friends Are For (The Swarbriggs song),Eurovision Song Contest 1975,Contest
3380,Teach-In (band),Eurovision Song Contest 1975,Contest
3381,Mikado (song),Eurovision Song Contest 1975,Contest
3382,Eurovision Song Contest 1978,Eurovision Song Contest 1975,Contest
3383,Ann Christy (singer),Eurovision Song Contest 1975,Contest
3384,Getty Kaspers,Eurovision Song Contest 1975,Contest
3386,E Depois do Adeus,Eurovision Song Contest 1975,Contest
3387,Sans toi,Eurovision Song Contest 1975,Contest
3388,Nicole Rieu,Eurovision Song Contest 1975,Contest
3389,Sergio y Estíbaliz,Eurovision Song Contest 1975,Contest
3390,Dori Ghezzi,Eurovision Song Contest 1975,Contest
3391,Karin Falck,Eurovision Song Contest 1975,Contest
3392,Chito Narvasa,2017 PBA Governors' Cup Finals,News Event
3393,SportsCenter Philippines,2017 PBA Governors' Cup Finals,News Event
3394,2015 Atlantic 10 Women's Basketball Tournament,2015 Atlantic 10 Men's Basketball Tournament,Concert
3395,2014–15 Atlantic 10 Conference men's basketball season,2015 Atlantic 10 Men's Basketball Tournament,Concert
3396,2015–16 Fordham Rams men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3397,2014–15 Dayton Flyers men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3398,2015–16 George Mason Patriots men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3399,2014–15 Richmond Spiders men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3400,2015–16 Saint Louis Billikens men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3401,2015–16 Davidson Wildcats men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3402,2014–15 Davidson Wildcats men's basketball team,2015 Atlantic 10 Men's Basketball Tournament,Concert
3403,Kiryat Arba,August 2010 West Bank shooting attack,Civilian Attack
3404,Arab–Israeli conflict,August 2010 West Bank shooting attack,Civilian Attack
3405,Dara Fitzpatrick,2017 Irish Coast Guard Rescue 116 crash,Airliner Accident
3406,Erris,2017 Irish Coast Guard Rescue 116 crash,Airliner Accident
3407,Blacksod Lighthouse,2017 Irish Coast Guard Rescue 116 crash,Airliner Accident
3408,Kieran Evans,Bestival 2009,Festival
3409,Kraftwerk,Bestival 2009,Festival
3410,Little Boots,Bestival 2009,Festival
3411,10 Downing Street,Downing Street mortar attack,Terrorist Attack
